,accuracy,precision,recall,f-measure,AUC
50%_ヒューリスティクス,0.766666667,0.531220876,0.523415978,0.527289547,0.685287448
50%_深層学習,0.756849315,0.515789474,0.359963269,0.42401298,0.624071577
50%_両方,0.732648402,0.463392857,0.476584022,0.46989588,0.646982379
80%_ヒューリスティクス,0.761643836,0.519858782,0.540863177,0.530153015,0.687781938
80%_深層学習,0.747488584,0.489544895,0.365472911,0.418506835,0.619685711
80%_両方,0.736757991,0.473244147,0.519742883,0.495404814,0.664155854
100%_ヒューリスティクス,0.737671233,0.478601997,0.616161616,0.538739462,0.69702034
100%_深層学習,0.751826484,0.500967118,0.475665748,0.487988695,0.65943725
100%_両方,0.749543379,0.496732026,0.558310376,0.525724168,0.685566613
,,,,,
f-measure,50%,80%,100%,,
ヒューリスティクス,0.527289547,0.530153015,0.538739462,,
深層学習,0.42401298,0.418506835,0.487988695,,
両方,0.46989588,0.495404814,0.525724168,,
,,,,,
AUC,50%,80%,100%,,
ヒューリスティクス,0.685287448,0.687781938,0.69702034,,
深層学習,0.624071577,0.619685711,0.65943725,,
両方,0.646982379,0.664155854,0.685566613,,
